<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,RSI,Signal RSI
20010102,230100,108.81,108.81,108.81,108.81,4,,
20010102,230200,108.81,108.81,108.79,108.79,4,,
20010102,230300,108.79,108.8,108.79,108.8,4,,
20010102,230400,108.8,108.81,108.8,108.81,4,,
20010102,230500,108.81,108.81,108.81,108.81,4,,
20010102,230600,108.81,108.81,108.81,108.81,4,,
20010102,230700,108.81,108.82,108.81,108.82,4,,
20010102,230800,108.82,108.83,108.82,108.82,4,,
20010102,230900,108.82,108.82,108.82,108.82,4,,
20010102,231000,108.82,108.82,108.82,108.82,4,,
20010102,231100,108.82,108.83,108.82,108.83,4,,
20010102,231200,108.83,108.83,108.83,108.83,4,,
20010102,231300,108.83,108.83,108.83,108.83,4,,
20010102,231400,108.83,108.83,108.81,108.81,4,,
20010102,231500,108.8,108.8,108.8,108.8,4,44.44444444444093,0.0
20010102,231600,108.79,108.79,108.78,108.78,4,35.86206896551495,0.0
20010102,232000,108.78,108.78,108.78,108.78,4,35.86206896551495,0.0
20010102,232100,108.77,108.77,108.77,108.77,4,32.2507247972361,0.0
20010102,232200,108.77,108.77,108.77,108.77,4,32.2507247972361,0.0
20010102,232300,108.77,108.77,108.77,108.77,4,32.2507247972361,0.0
20010102,232400,108.77,108.78,108.77,108.78,4,39.81977514878629,0.0
20010102,232500,108.78,108.78,108.77,108.77,4,35.54335960201696,0.0
20010102,232600,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
20010102,232700,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
20010102,233000,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
20010102,233100,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
20010102,233500,108.79,108.79,108.79,108.79,4,50.83866564164842,0.0
20010102,233600,108.8,108.8,108.8,108.8,4,56.40855375484588,0.0
20010102,233700,108.8,108.8,108.79,108.8,4,56.40855375484588,0.0
20010102,233800,108.8,108.81,108.8,108.8,4,56.40855375484588,0.0
20010102,233900,108.8,108.8,108.8,108.8,4,56.40855375484588,0.0
20010102,234000,108.8,108.8,108.8,108.8,4,56.40855375484588,0.0
20010102,234100,108.79,108.79,108.79,108.79,4,48.4562017618141,0.0
20010102,234200,108.79,108.79,108.79,108.79,4,48.4562017618141,0.0
20010102,234400,108.79,108.79,108.78,108.78,4,41.64689870926288,0.0
20010102,234500,108.78,108.78,108.78,108.78,4,41.64689870926288,0.0
20010102,234600,108.79,108.79,108.79,108.79,4,49.82431279873603,0.0
20010102,234700,108.8,108.8,108.8,108.8,4,56.40371208251963,0.0
20010102,234800,108.79,108.79,108.79,108.79,4,49.42431009035471,0.0
20010102,234900,108.78,108.79,108.78,108.79,4,49.42431009035471,0.0
20010102,235100,108.79,108.79,108.77,108.77,4,38.40217536916329,0.0
20010102,235200,108.77,108.78,108.77,108.78,4,45.00599408844029,0.0
20010102,235300,108.78,108.79,108.78,108.79,4,50.698160342295246,0.0
20010102,235400,108.79,108.79,108.78,108.78,4,45.61372800563893,0.0
20010102,235500,108.78,108.79,108.78,108.79,4,50.91504035392182,0.0
20010102,235600,108.8,108.8,108.8,108.8,4,55.57814805817717,0.0
20010102,235700,108.8,108.81,108.8,108.81,4,59.701070811206996,0.0
20010102,235800,108.81,108.81,108.81,108.81,4,59.701070811206996,0.0
20010102,235900,108.81,108.81,108.81,108.81,4,59.70107081120699,0.0
20010103,0,108.81,108.81,108.81,108.81,4,59.70107081120699,0.0
20010103,300,108.79,108.79,108.79,108.79,4,47.77322916873664,0.0
20010103,400,108.79,108.8,108.79,108.8,4,52.84608149727867,0.0
20010103,500,108.81,108.81,108.81,108.81,4,57.31142978138206,0.0
20010103,600,108.81,108.81,108.81,108.81,4,57.31142978138206,0.0
20010103,700,108.81,108.81,108.81,108.81,4,57.31142978138206,0.0
20010103,800,108.81,108.81,108.8,108.8,4,51.24987030941065,0.0
20010103,900,108.81,108.81,108.81,108.81,4,56.23477620632684,0.0
20010103,1000,108.81,108.81,108.81,108.81,4,56.23477620632684,0.0
20010103,1100,108.81,108.81,108.81,108.81,4,56.23477620632684,0.0
20010103,1200,108.81,108.81,108.8,108.8,4,49.866210876098556,0.0
20010103,1300,108.8,108.81,108.8,108.81,4,55.31592915516688,0.0
20010103,1400,108.81,108.82,108.81,108.82,4,59.99869426194205,0.0
20010103,1500,108.82,108.82,108.82,108.82,4,59.99869426194205,0.0
20010103,1600,108.82,108.82,108.82,108.82,4,59.99869426194205,0.0
20010103,1700,108.81,108.81,108.8,108.8,4,47.55089938000956,0.0
20010103,1800,108.8,108.8,108.8,108.8,4,47.55089938000956,0.0
20010103,1900,108.8,108.8,108.78,108.78,4,38.328536138582216,0.0
20010103,2000,108.77,108.77,108.74,108.75,4,29.184920764966435,0.0
20010103,2100,108.76,108.76,108.76,108.76,4,34.770914388347535,1.0
20010103,2200,108.76,108.76,108.76,108.76,4,34.770914388347535,0.0
20010103,2300,108.77,108.77,108.77,108.77,4,40.23815345712624,0.0
20010103,2400,108.78,108.78,108.78,108.78,4,45.18586135265433,0.0
20010103,2500,108.78,108.8,108.78,108.8,4,53.48102340180519,0.0
20010103,2600,108.8,108.81,108.8,108.81,4,56.986087135487615,0.0
20010103,2700,108.81,108.81,108.8,108.81,4,56.986087135487615,0.0
20010103,2800,108.81,108.82,108.81,108.82,4,60.442780759278676,0.0
20010103,2900,108.82,108.82,108.81,108.81,4,55.62847391692875,0.0
20010103,3000,108.81,108.82,108.81,108.82,4,59.13387318805003,0.0
20010103,3100,108.82,108.84,108.82,108.84,4,65.07634925919196,0.0
20010103,3200,108.83,108.83,108.83,108.83,4,60.350907085278585,0.0
20010103,3300,108.83,108.83,108.81,108.81,4,52.18865416113592,0.0
20010103,3400,108.81,108.81,108.81,108.81,4,52.18865416113592,0.0
20010103,3500,108.81,108.81,108.81,108.81,4,52.18865416113592,0.0
20010103,3600,108.81,108.81,108.81,108.81,4,52.18865416113591,0.0
20010103,3700,108.81,108.81,108.8,108.8,4,47.8375092882446,0.0
20010103,3800,108.8,108.81,108.8,108.81,4,52.135138437131516,0.0
20010103,3900,108.82,108.82,108.81,108.81,4,52.135138437131516,0.0
20010103,4000,108.81,108.81,108.81,108.81,4,52.135138437131516,0.0
20010103,4100,108.82,108.82,108.82,108.82,4,56.600991913648336,0.0
20010103,4200,108.82,108.83,108.82,108.82,4,56.600991913648336,0.0
20010103,4300,108.82,108.82,108.82,108.82,4,56.600991913648336,0.0
20010103,4400,108.81,108.81,108.76,108.76,4,33.310643490174996,0.0
20010103,4500,108.76,108.76,108.76,108.76,4,33.310643490174996,0.0
20010103,4600,108.76,108.76,108.76,108.76,4,33.31064349017498,0.0
20010103,4700,108.76,108.76,108.73,108.73,4,26.500826798263276,0.0
20010103,4800,108.72,108.72,108.72,108.72,4,24.688989705550753,0.0
20010103,4900,108.71,108.71,108.7,108.7,4,21.520026455869072,0.0
20010103,5000,108.7,108.71,108.7,108.71,4,26.59347475133079,0.0
20010103,5100,108.71,108.71,108.71,108.71,4,26.59347475133079,0.0
